匕 bi3 "dagger; ladle"
垦 ken3 "to reclaim (land); to cultivate"
昼 zhou4 daytime
屏 bing3 "to get rid of; to put aside; to reject; to keep control; to hold (one's breath)"
屏 ping2 "(standing) screen"
陡 dou3 "steep; precipitous; abrubtly; suddenly; unexpectedly"
陨 yun3 "to fall; meteor; to perish"
姥 lao3 "grandma (maternal)"
姥 mu3 "governess; old woman"
姨 yi2 "mother's sister; aunt"
姻 yin1 "marriage connections"
娇 jiao1 "lovable; pampered; tender; delicate; frail"
姚 yao2 "handsome; good-looking"
娜 na4 "(phonetic na)"
娜 nuo2 "elegant; graceful"
贺 he4 "to congratulate"
盈 ying2 "full; filled; surplus"
怠 dai4 "idle; lazy; negligent; careless"
癸 gui3 "tenth in order; deca"
蚤 zao3 flea
骄 jiao1 "proud; arrogant"
绘 hui4 "to draw; to paint"
绚 xuan4 "adorned; swift; gorgeous; brilliant; variegated"
骆 luo4 camel
绞 jiao3 "to twist (strands into a thread); to entangle; to wring; to hang (by the neck); to turn; to wind; classifier for skeins of yarn"
骇 hai4 "to astonish; to startle; to hack (computing, loanword)"
统 tong3 "to gather; to unite; to unify; whole"
耒 lei3 plow
耕 geng1 "to plow; to till"
耘 yun2 "to weed"
耙 ba4 "a hoe; to harrow"
耙 pa2 "a rake"
匿 ni4 "to hide"
蚕 can2 silkworm
顽 wan2 "mischievous; obstinate; to play; stupid; stubborn; naughty"
盏 zhan3 "a small cup; classifier for lamps"
埂 geng3 "strip of high ground; low earth dyke separating fields"
捂 wu3 "to enclose; to cover with the hand (one's eyes, nose or ears); to cover up (an affair); contrary; to contradict"
捍 han4 "to ward off (a blow); to withstand; to defend"
捌 ba1 "eight (banker's anti-fraud numeral); split"
哲 zhe2 "wise; a sage"
逝 shi4 "(of flowing water or time) to pass by; to pass away; to die"
挫 cuo4 "obstructed; to fail; to oppress; to repress; to lower the tone; to bend back; to dampen"
奂 huan4 excellent
挽 wan3 "to pull; to draw (a cart or a bow); to roll up; to coil; to carry on the arm; to lament the dead; (fig.) to pull against; to recover; to draw (a cart); to lament the dead"
挚 zhi4 sincere
耻 chi3 "shame; disgrace"
耿 geng3 "(literary) bright; brilliant; honest; upright"
耽 dan1 "to indulge in; to delay"
聂 nie4 "to whisper"
恭 gong1 respectful
莽 mang3 "thick weeds; luxuriant growth; illicium anisatum, a shrub with poisonous leaves; impertinent"
莉 li4 jasmine
晋 jin4 "to move forward; to promote; to advance"
莹 ying2 "luster of gems"
莺 ying1 "oriole or various birds of the sylvidae family including warblers"
匡 kuang1 "to rectify"
梆 bang1 "watchman's rattle"
桂 gui4 "cassia; laurel"
桔 jie2 "platycodon grandiflorus; water bucket"
栖 qi1 "to perch; to rest (of birds); to dwell; to live; to stay"
桐 tong2 "tree name (variously paulownia, firmiana or aleurites)"
株 zhu1 "tree trunk; stump (tree root); a plant; classifier for trees or plants; strain (biology); to involve others (in shady business)"
桦 hua4 "(botany) birch (genus betula)"
栗 li4 "(literary) cold; chilly; (bound form) to tremble with fear; chestnut"
酌 zhuo2 "to pour wine; to drink wine; to deliberate; to consider"
翅 chi4 "wing (of a bird or insect) (bound form)"
辱 ru3 "disgrace; dishonor; to insult; to bring disgrace or humiliation to; to be indebted to; self-deprecating"
匝 za1 "to go around; to encircle; classifier for a full circuit or a turn of a coil"
砾 li4 "(bound form) gravel; small stone"
础 chu3 "foundation; base"
豕 shi3 "hog; swine"
逐 zhu2 "(bound form) to pursue; to chase away; individually; one by one"
殊 shu1 "different; unique; special; very; to die; to cut off; to separate; to surpass"
殉 xun4 "to be buried with the dead; to die for a cause"
轿 jiao4 "sedan chair; palanquin; litter"
杲 gao3 "high; sun shines brightly; to shine"
虑 lü4 "to think over; to consider; anxiety"
逞 cheng3 "to show off; to flaunt; to carry out or succeed in a scheme; to indulge; to give free rein to"
晓 xiao3 "dawn; daybreak; to know; to let sb know; to make explicit"
哮 xiao4 "pant; roar; bark (of animals)"
唠 lao2 "to chatter"
唠 lao4 "to gossip"
哺 bu3 "to feed"
哺 bu1 "to eat; evening meal"
晌 shang3 "part of the day; midday"
剔 ti1 "to scrape the meat from bones; to pick (teeth etc); to weed out"
蚌 bang4 "mussel; clam"
畔 pan4 "(bound form) side; edge; boundary"
蚣 gong1 "scolopendra centipede"
蚊 wen2 mosquito
蚪 dou3 tadpole
蚓 yin3 earthworm
哨 shao4 "a whistle; sentry"
圃 pu3 "garden; orchard"
鸯 yang1 "mandarin duck"
唤 huan4 "to call"
唁 yan4 "to extend condolences"
亨 heng1 "prosperous; henry (unit of inductance)"
唆 suo1 "to suck; to incite"
峭 qiao4 "high and steep; precipitous; severe or stern"
峨 e2 "lofty; name of a mountain"
峻 jun4 "(of mountains) high; harsh or severe"
贿 hui4 "(bound form) bribery"
赂 lu4 "bribe; bribery"
赃 zang1 "stolen goods; loot; spoils"
钳 qian2 "pincers; pliers; tongs; claw (of animal); to grasp with pincers; to pinch; to clamp; to restrain; to restrict; to gag"
钾 jia3 "potassium (chemistry)"
氨 an1 ammonia
牺 xi1 sacrifice
秤 cheng4 "steelyard; roman balance"
秧 yang1 "shoots; sprouts"
秩 zhi4 "order; orderliness; (classifier) ten years"
笋 sun3 "bamboo shoot"
倚 yi3 "to lean on; to rely upon"
奄 yan3 "suddenly; abruptly; hastily; to cover; to surround"
奄 yan1 "to castrate; to delay"
倘 tang3 "if; supposing; in case"
倡 chang4 "to initiate; to instigate; to introduce; to lead"
赁 lin4 "to rent"
俯 fu3 "to look down; to stoop"
倦 juan4 tired
躬 gong1 "body (of a human, esp. the torso); to bow; (literary) oneself; personally"
息 xi1 "breath; news; interest (on an investment or loan); to cease; to stop; to rest"
倔 jue2 "crabby; tough"
徐 xu2 "slowly; gently"
殷 yin1 "flourishing; abundant; earnest; hospitable"
殷 yin3 "roll of thunder"
殷 yan1 "dark red"
耸 song3 "to excite; to raise up; to shrug; high; lofty; towering"
舀 yao3 "to ladle out; to scoop up"
豸 zhi4 "worm-like invertebrate; radical in chinese characters (kangxi radical 153)"
豺 chai2 "dog-like animal; ravenous beast; dhole (cuon alpinus); jackal"
颁 ban1 "to promulgate; to send out; to issue; to grant or confer"
颂 song4 "ode; eulogy; to praise in writing; to wish (in letters)"
翁 weng1 "elderly man; father; father-in-law"
胰 yi2 pancreas
胳 ge1 armpit
脐 qi2 "(bound form) the navel; the umbilicus; (bound form) the belly flap of a crab; apron"
脓 nong2 pus
狸 li2 "raccoon dog; fox-like animal"
鸵 tuo2 ostrich
鸳 yuan1 "mandarin duck"
馁 nei3 "(bound form) hungry; starving; (bound form) dispirited; (literary) (of fish) putrid"
凌 ling2 "to approach; to rise high; thick ice; to insult or maltreat"
凄 qi1 "intense cold; frigid; dismal; grim; bleak; sad; mournful; sad; mournful; intense cold; frigid; dismal; grim; bleak; sad; mournful"
桨 jiang3 "oar; paddle"
浆 jiang1 "thick liquid; to starch"
衷 zhong1 "inner feelings"
郭 guo1 "outer city wall"
隹 zhui1 "short-tailed bird"
疾 ji2 "(bound form) disease; ailment; (bound form) swift; (literary) to hate; to abhor"
斋 zhai1 "to fast or abstain from meat, wine etc; vegetarian diet; study room; building; to give alms (to a monk)"
疹 zhen3 "measles; rash"
疲 pi2 weary
脊 ji3 "(bound form) spine; backbone; (bound form) ridge"
紊 wen3 "involved; tangled; disorderly; confused; chaotic"
瓷 ci2 "chinaware; porcelain; china"
剖 pou1 "to cut open; to analyze"
阅 yue4 "to inspect; to review; to read; to peruse; to go through; to experience"
羔 gao1 lamb
益 yi4 "benefit; profit; advantage; beneficial; to increase; to add; all the more"
烛 zhu2 "candle; (literary) to illuminate"
烙 lao4 "to brand; to iron; to bake (in a pan)"
涛 tao1 "big wave"
涝 lao4 flooded
涉 she4 "(literary) to wade across a body of water; (bound form) to experience; to undergo; to be involved; to concern"
呙 wai1 lopsided
涡 guo1 "name of a river"
涡 wo1 "eddy; whirlpool"
浩 hao4 "grand; vast (water)"
涣 huan4 "to dissipate; to dissolve"
涤 di2 "to wash; to cleanse"
润 run4 "moist; glossy; sleek; to moisten; to lubricate; to embellish; to enhance; profit; remuneration"
涧 jian4 "mountain stream"
涕 ti4 "tears; nasal mucus"
浸 jin4 "to immerse; to soak; to steep; gradually"
涩 se4 "astringent; tart; acerbity; unsmooth; rough (surface); hard to understand; obscure"
悖 bei4 "to go against; to be contrary to; perverse; rebellious"
悄 qiao3 "quiet; sad"
悔 hui3 "(bound form) to regret; to repent"
悯 min3 "to sympathize; to pity; to feel compassion for; (literary) to feel sorrow; to be grieved"
悦 yue4 pleased
苋 xian4 "amaranth (genus amaranthus); joseph's coat (amaranthus tricolor); chinese spinach (amaranth mangostanus)"
宵 xiao1 night
宴 yan4 "(bound form) feast; repose"
窍 qiao4 "hole; opening; orifice (of the human body); (fig.) key (to the solution of a problem)"
诽 fei3 slander
袖 xiu4 "sleeve; to tuck inside one's sleeve"
祥 xiang2 "auspicious; propitious"
冤 yuan1 "injustice; grievance; wrong"
谅 liang4 "to show understanding; to excuse; to presume; to expect"
谆 zhun1 "repeatedly (in giving advice); sincere; earnest; untiring"
谊 yi4 friendship
恳 ken3 earnest
陵 ling2 "mound; tomb; hill; mountain"
祟 sui4 "evil spirit"
娱 yu2 "to amuse"
娟 juan1 "beautiful; graceful"
娥 e2 "good; beautiful"
绢 juan4 "thin, tough silk fabric"
绣 xiu4 "to embroider; embroidery"
骏 jun4 "spirited horse"
琐 suo3 "fragmentary; trifling"
琉 liu2 "precious stone"
琅 lang2 "jade-like stone; clean and white; tinkling of pendants; (gem); tinkling of pendants"
措 cuo4 "to handle; to manage; to put in order; to arrange; to administer; to execute; to take action on; to plan"
描 miao2 "to depict; to trace (a drawing); to copy; to touch up"
域 yu4 "field; region; area; domain (taxonomy)"
捺 na4 "to press down firmly; to suppress"
掩 yan3 "to cover up; to conceal; to close (a door, book etc); (coll.) to get (one's fingers etc) caught when closing a door or lid; (literary) to launch a surprise attack"
焉 yan1 "where; how"
捶 chui2 "to beat with the fist; to hammer; to cudgel"
赦 she4 "to pardon (a convict)"
阜 fu4 "abundant; mound"
埠 bu4 "wharf; port; pier"
掀 xian1 "to lift (a lid); to rock; to convulse"
授 shou4 "(bound form) to confer; to give; (bound form) to teach; to instruct; (literary) to appoint"
捻 nian3 "to twirl (in the fingers)"
掠 lüe4 "to take over by force; to rob; to plunder; to brush over; to skim; to sweep"
掂 dian1 "to weigh in the hand; to estimate"
妾 qie4 "concubine; i, your servant (deprecatory self-reference for women)"
聆 ling2 "(literary) to hear; to listen"
勘 kan1 "to investigate; to survey; to collate"
菱 ling2 "water caltrop (trapa species)"
萌 meng2 "to sprout; to bud; to have a strong affection for (slang)"
囷 qun1 granary
萎 wei3 "to wither; to drop; to decline; spiritless"
菊 ju2 chrysanthemum
菩 pu2 bodhisattva
泙 ping2 "sound of water splashing"
萍 ping2 duckweed
菠 bo1 spinach
萤 ying2 "firefly; glow-worm"
乾 qian2 "male principle"
萧 xiao1 "miserable; desolate; dreary; chinese mugwort"
菇 gu1 mushroom
械 xie4 "appliance; tool; weapon; shackles"
彬 bin1 "ornamental; refined"
婪 lan2 avaricious
梗 geng3 "branch; stem; stalk; to block; to hinder; prominent feature of a creative work (punchline of a joke, trope in a drama, special ingredient in a dish, riff in a pop song etc)"
梧 wu2 "sterculia platanifolia"
梢 shao1 "tip of branch"
梳 shu1 "a comb; to comb"
曹 cao2 "zhou dynasty vassal state; class or grade; generation"
酝 yun4 "to brew"
酗 xu4 drunk
厢 xiang1 "box (in theater); side room; side"
戚 qi1 "grief; sorrow; relatives; kin; grief; sorrow; battle-axe"
硅 gui1 "silicon (chemistry)"
硕 shuo4 "large; big"
奢 she1 extravagant
盔 kui1 helmet
匾 pian2 "basket-couch in coffin"
匾 bian3 "horizontal rectangular inscribed tablet hung over a door or on a wall; shallow round woven bamboo basket"
彪 biao1 "tiger stripes; tiger cub"
雀 que4 "(bound form) small bird; sparrow"
雀 qiao1 "a freckle; lentigo"
眶 kuang4 "(bound form) eye socket"
匙 chi2 spoon
眯 mi2 "to blind (as with dust)"
眯 mi1 "to narrow one's eyes; to squint"
晦 hui4 "last day of a lunar month; dark; night"
啄 zhuo2 "to peck"
趾 zhi3 toe
蚯 qiu1 earthworm
蛀 zhu4 "termite; to bore (of insects)"
唾 tuo4 "saliva; to spit"
啸 xiao4 "to hiss; to whistle"
崖 ya2 "precipice; cliff"
崭 zhan3 "towering; prominent; very; extremely; excellent"
崭 chan2 precipitous
逻 luo2 patrol
帷 wei2 "curtain; screen"
崇 chong2 "high; sublime; lofty; to esteem; to worship"
崛 jue2 "towering as a peak"
铛 cheng1 "frying pan; griddle"
铛 dang1 "clank; clang; sound of metal"
铭 ming2 "to engrave; inscribed motto"
矫 jiao2 "argumentative; contentious"
矫 jiao3 "to correct; to rectify; to redress; strong; brave; to pretend; to feign; affectation"
秸 jie1 "grain stalks left after threshing"
犁 li2 plow
秽 hui4 "dirt; filth"
笙 sheng1 "sheng, a free reed wind instrument with vertical bamboo pipes"
符 fu2 "mark; sign; talisman; to seal; to correspond to; tally; symbol; written charm; to coincide"
攸 you1 "distant, far; adverbial prefix"
偿 chang2 "to repay; to compensate for; to recompense; to fulfill (hopes etc)"
偎 wei1 "to cuddle"
俞 yu2 "yes (used by emperor or ruler); ok; to accede; to assent"
躯 qu1 "human body"
衅 xin4 "quarrel; dispute"
徘 pai2 irresolute
徙 xi3 "(literary) to change one's residence"
衔 xian2 "bit (of a bridle); to hold in the mouth; to harbor (feelings); to link; to accept; rank; title"
舶 bo2 ship
鸽 ge1 "pigeon; dove"
敛 lian3 "to hold back; to restrain; to control (oneself); to collect"
悉 xi1 "in all cases; know"
脖 bo2 neck
脯 pu2 "chest; breast"
脯 fu3 "dried meat; preserved fruit"
豚 tun2 "suckling pig"
逸 yi4 "to escape; leisurely; outstanding"
凰 huang2 phoenix
猖 chang1 ferocious
馅 xian4 "stuffing; forcemeat; filling"
毫 hao2 "hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan"
烹 peng1 "cooking method; to boil sb alive (capital punishment in imperial china)"
庶 shu4 "(bound form) ordinary; numerous; (bound form) pertaining to a concubine"
庵 an1 "hut; small temple; nunnery"
痊 quan2 "to recover (from illness)"
廊 lang2 "corridor; veranda; porch"
庸 yong1 "ordinary; to use"
冏 jiong3 "velvetleaf (abutilon avicennae), plant of the jute family; bright"
旋 xuan2 "to revolve; a loop; a circle"
旋 xuan4 "to whirl; immediately"
阎 yan2 "yama; gate of village"
阐 chan3 "to express; to disclose; to enlighten; to open"
羚 ling2 antelope
眷 juan4 "concern; wife and children; to care about; to look fondly on"
焕 huan4 "brilliant; lustrous"
忝 tian3 "to shame"
鸿 hong2 "eastern bean goose; great; large"
涯 ya2 "border; horizon; shore"
淹 yan1 "to flood; to submerge; to drown; to irritate the skin (of liquids); to delay"
渠 ju4 "how can it be that?"
渠 qu2 "big; stream or canal; drain; ditch"
淑 shu1 "warm and virtuous"
淌 tang3 "to drip; to trickle; to shed (tears)"
淮 huai2 "name of a river"
淆 xiao2 "confused and disorderly; mixed"
渊 yuan1 "deep pool; deep; profound"
渔 yu2 "fisherman; to fish"
淘 tao2 "to wash; to clean out; to cleanse; to eliminate; to dredge"
淳 chun2 "genuine; pure; honest"
淤 yu1 "silt; river sludge; to silt up; choked with silt"
淀 dian4 "shallow water; sediment; precipitate"
涮 shuan4 "to rinse; to trick; to fool sb; to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table)"
涵 han2 "to contain; to include; culvert"
梁 liang2 "roof beam; beam (structure); bridge"
渗 shen4 "to seep; to ooze; to horrify"
惜 xi1 "to cherish; to begrudge; to pity"
惭 can2 ashamed
悼 dao4 "to mourn; to lament"
惧 ju4 "to fear"
惕 ti4 "fearful; respectful"
惟 wei2 "-ism; only"
惦 dian4 "to think of; to remember; to miss"
悴 cui4 "haggard; sad; downcast; distressed"
惋 wan3 "to sigh in regret or pity"
寂 ji4 "silent; solitary"
佰 bai3 "hundred (banker's anti-fraud numeral)"
窒 zhi4 "to obstruct; to stop up"
窑 yao2 "kiln; oven; coal pit; cave dwelling; (coll.) brothel"
宓 mi4 "still; silent"
谍 die2 "to spy"
谐 xie2 "(bound form) harmonious; (bound form) humorous; (literary) to reach agreement"
袱 fu2 "bundle wrapped in cloth"
祷 dao3 "prayer; pray; supplication"
谓 wei4 "to speak; to say; to name; to designate; meaning; sense"
彦 yan4 "accomplished; elegant"
谚 yan4 proverb
尉 wei4 "military officer"
堕 duo4 "to fall; to sink; (fig.) to degenerate"
隅 yu2 corner
婶 shen3 "wife of father's younger brother"
婉 wan3 "graceful; tactful"
绩 ji4 "to spin (hemp etc); merit; accomplishment"
绪 xu4 "beginnings; clues; mental state; thread"
续 xu4 "to continue; to replenish"
