我,wo3,i; me; my
说话,shuo1hua4,to speak; to say; to talk; to gossip; to tell stories; talk; word
明白,ming2bai5,clear; obvious; unequivocal; to understand; to realize
那样,na4yang4,that kind; that sort
指,zhi3,finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end
按,an4,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment
是否,shi4fou3,whether (or not); if; is or isn't
跑,pao3,to run; to run away; to escape; to run around (on errands etc); (of a gas or liquid) to leak or evaporate; (verb complement) away; off
即,ji2,namely; that is; i.e.; prompt; at once; at present; even if; prompted (by the occasion); to approach; to come into contact; to assume (office); to draw near
极,ji2,"extremely; pole (geography, physics); utmost; top"
黑,hei1,black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify; (loanword) to hack (computing)
产品,chan3pin3,goods; merchandise; product
真正,zhen1zheng4,genuine; real; true; genuinely
过程,guo4cheng2,course of events; process
座,zuo4,"seat; base; stand; classifier for buildings, mountains and similar immovable objects"
处,chu4,"place; location; spot; point; office; department; bureau; respect; classifier for locations or items of damage: spot, point"
不错,bu4cuo4,correct; right; not bad; pretty good
近,jin4,near; close to; approximately
西,xi1,the west; spanish; west
经过,jing1guo4,to pass; to go through; process; course
考,kao3,to beat; to hit; to inspect; to test; to take an exam; to check; to verify; to test; to examine; to take an exam; to take an entrance exam for; deceased father
怕,pa4,to be afraid; to fear; to dread; to be unable to endure; perhaps
支持,zhi1chi2,to be in favor of; to support; to back; support; backing; to stand by
搞,gao3,to do; to make; to go in for; to set up; to get hold of; to take care of
十分,shi2fen1,very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts
克,ke4,"to be able to; to subdue; to restrain; to overcome; gram; tibetan unit of land area, about 6 ares; to subdue; to overthrow; to restrain"
政府,zheng4fu3,government
版,ban3,a register; block of printing; edition; version; page
身体,shen1ti3,the body; one's health; in person
山,shan1,mountain; hill; anything that resembles a mountain; bundled straw in which silkworms spin cocoons; gable
环境,huan2jing4,environment; circumstances; surroundings; ambient
整个,zheng3ge4,whole; entire; total
穿,chuan1,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread
八,ba1,eight; 8
拍,pai1,to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music)
衣服,yi1fu5,clothes
身上,shen1shang5,on the body; at hand; among
今年,jin1nian2,this year
七,qi1,seven; 7
较,jiao4,to compare; to dispute; compared to; (before adj.) relatively; comparatively; rather
倒,dao4,to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation
德,de2,germany; german; virtue; goodness; morality; ethics; kindness; favor; character; kind
类,lei4,kind; type; class; category; similar; like; to resemble
接,jie1,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb
数,shu4,number; figure; several
经常,jing1chang2,frequently; constantly; regularly; often; day-to-day; everyday; daily
下午,xia4wu3,afternoon; p.m.
人民,ren2min2,the people
成功,cheng2gong1,success; to succeed
算,suan4,to regard as; to figure; to calculate; to compute
名字,ming2zi5,name (of a person or thing)
汽车,qi4che1,car; automobile; bus
系统,xi4tong3,system
人家,ren2jia5,"other people; sb else; he, she or they"
睡,shui4,to sleep; to lie down
容易,rong2yi4,easy; likely; liable (to)
好像,hao3xiang4,as if; to seem like
直接,zhi2jie1,immediate; straightforward
另外,ling4wai4,additional; in addition; besides; separate; other; moreover; furthermore
国,guo2,country; nation; state; national
网络,wang3luo4,"internet; network (computing, telecommunications, transport etc)"
解决,jie3jue2,to settle (a dispute); to resolve; to solve; to dispose of; to dispatch
风,feng1,wind; news; style; custom; manner
来到,lai2dao4,to come; to arrive
地区,di4qu1,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)"
白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera
根本,gen1ben3,fundamental; basic; root; simply; absolutely (not); (not) at all
台,tai2,desk; table; counter; platform; stage; terrace; stand; support; station; broadcasting station; classifier for vehicles or machines; typhoon
最好,zui4hao3,best; (you) had better (do what we suggest)
教学,jiao1xue2,to teach (as a professor)
父母,fu4mu3,father and mother; parents
接受,jie1shou4,to accept; to receive
约,yue1,to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise
步,bu4,a step; a pace; walk; march; stages in a process; situation
肯定,ken3ding4,to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer)
作品,zuo4pin3,work (of art); opus
报,bao4,to announce; to inform; report; newspaper; recompense; revenge
全国,quan2guo2,whole nation; nationwide; countrywide; national
远,yuan3,far; distant; remote; (intensifier in a comparison) by far; much (lower etc)
男,nan2,male
非,fei1,to not be; not; wrong; incorrect; non-; un-; in-; de-; to reproach or blame; (colloquial) to insist on; simply must
听到,ting1dao4,to hear
各种,ge4zhong3,every kind of; all kinds of; various kinds
阅读,yue4du2,to read; reading
活,huo2,to live; alive; living; work; workmanship
不少,bu4shao3,many; a lot; not few
国内,guo2nei4,domestic; internal (to a country); civil
曾经,ceng2jing1,once; already; former; previously; ever; (past tense marker used before verb or clause)
设计,she4ji4,plan; design; to design; to plan
望,wang4,full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 15th day of month (lunar calendar)
记得,ji4de5,to remember
有的,you3de5,(there are) some (who are...); some (exist)
提出,ti2chu1,to raise (an issue); to propose; to put forward; to suggest; to post (on a website); to withdraw (cash)
马,ma3,horse; horse or cavalry piece in chinese chess; knight in western chess
之前,zhi1qian2,before; prior to; ago; previously; beforehand
靠,kao4,to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar)
政治,zheng4zhi4,politics; political
才能,cai2neng2,talent; ability; capacity
样子,yang4zi5,appearance; manner; pattern; model
存在,cun2zai4,to exist; to be; existence
双,shuang1,two; double; pair; both; even (number)
手机,shou3ji1,cell phone; mobile phone
清楚,qing1chu5,clear; distinct; to understand thoroughly; to be clear about
单位,dan1wei4,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the prc prior to economic reform)"
根据,gen1ju4,according to; based on; basis; foundation
领导,ling3dao3,lead; leading; to lead; leadership; leader
面,mian4,"face; side; surface; aspect; top; classifier for objects with flat surfaces such as drums, mirrors, flags etc; flour; noodles; (of food) soft (not crunchy); (slang) (of a person) ineffectual; spineless"
金,jin1,gold; chemical element au; generic term for lustrous and ductile metals; money; golden; highly respected
左右,zuo3you4,left and right; nearby; approximately; attendant; to control; to influence
生命,sheng1ming4,life (as the characteristic of living beings); living being; creature
而是,er2shi4,rather
代表,dai4biao3,representative; delegate; to represent; to stand for; on behalf of; in the name of
文,wen2,language; culture; writing; formal; literary; gentle; kangxi radical 67
转,zhuan3,to turn; to change direction; to transfer; to forward (mail); (internet) to share (sb else's content)
班,ban1,team; class; squad; work shift; ranking; classifier for groups of people and scheduled transport vehicles
价格,jia4ge2,price
动,dong4,(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter
套,tao4,"to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names)"
简单,jian3dan1,simple; not complicated
教,jiao4,religion; teaching; to make; to cause; to tell
帮助,bang1zhu4,assistance; aid; to help; to assist
区,qu1,area; region; district; small; distinguish
高兴,gao1xing4,happy; glad; willing (to do sth); in a cheerful mood
永远,yong3yuan3,forever; eternal
知识,zhi1shi5,knowledge; intellectual
东,dong1,east; host (i.e. sitting on east side of guest); landlord
不断,bu4duan4,unceasing; uninterrupted; continuous; constant
主,zhu3,owner; master; host; individual or party concerned; god; lord; main; to indicate or signify; trump card (in card games)
歌,ge1,song; to sing
医院,yi1yuan4,hospital
低,di1,low; beneath; to lower (one's head); to let droop; to hang down; to incline
酒,jiu3,wine (esp. rice wine); liquor; spirits; alcoholic beverage
哭,ku1,to cry; to weep
强,qiang2,strong; powerful; better; slightly more than; vigorous; violent
思想,si1xiang3,thought; thinking; idea; ideology
相关,xiang1guan1,related; relevant; pertinent; to be interrelated; (statistics) correlation
王,wang2,king or monarch; best or strongest of its type; grand; great
毕业,bi4ye4,graduation; to graduate; to finish school
理解,li3jie3,to comprehend; to understand; comprehension; understanding
教师,jiao4shi1,teacher
以上,yi3shang4,that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) that is all.
