我 wo3  "戈 ge1, 弋 yi4" 0 "我们 我国 自我 我方" "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
只 zhi3 扺址黹止趾徵沚轵酯芷枳指旨祉纸咫 "口 kou3, 八 ba1" 70 "只是 只有 只要 只能" "只 zhi3 only; merely; just; but
只是 zhi3shi4 merely; only; just; nothing but; simply; but; however
只有 zhi3you3 only have ...; there is only ...
只要 zhi3yao4 if only; so long as
只能 zhi3neng2 can only; obliged to do sth; to have no other choice"
些 xie1 歇楔揳蝎 "此 ci3, 二 er4, 止 zhi3, 匕 bi3" 71 "一些 这些 有些 那些" "些 xie1 classifier indicating a small amount or small number greater than 1: some, a few, several
一些 yi1xie1 some; a few; a little; (following an adjective) slightly ...er
这些 zhe4xie1 these
有些 you3xie1 some; somewhat
那些 na4xie1 those"
如 ru2 嬬嚅薷濡襦茹儒孺颥蠕铷 "女 nü3, 口 kou3" 72 "如果 如何 如此 比如" "如 ru2 as; as if; such as
如果 ru2guo3 if; in case; in the event that
如何 ru2he2 how; what way; what
如此 ru2ci3 like this; so; such
比如 bi3ru2 for example; for instance; such as"
家 jia1 跏嘉𬂩佳迦痂笳泇枷袈葭加珈镓夹浃 "宀 mian2, 豕 shi3, 冖 mi4" 73 "大家 国家 家里 回家" "家 jia1 home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-han china; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to english -ist, -er, -ary or -ian
大家 da4jia1 everyone; influential family; great expert
国家 guo2jia1 country; nation; state
家里 jia1li3 home
回家 hui2jia1 to return home"
后 hou4 郈逅堠垕厚鲘候鲎 "口 kou3" 74 "然后 最后 以后 之后" "后 hou4 empress; queen; ruler; back; behind; rear; afterwards; after; later; post-
然后 ran2hou4 then; after that; afterwards
最后 zui4hou4 final; last; finally; ultimate
以后 yi3hou4 after; later; afterwards; following; later on; in the future
之后 zhi1hou4 after; behind; (at the beginning of a sentence) afterwards; since then"
儿 er2 鲕耏鸸而陑  75 "儿子 女儿 儿童 孩儿" "儿 er2 child; son
儿子 er2zi5 son
女儿 nü3er2 daughter
儿童 er2tong2 child
孩儿 hai2r5 child"
多 duo1 裰哆剟㙍咄掇 "夕 xi1" 76 "许多 多少 多年 多么" "多 duo1 many; much; too many; in excess; (after a numeral) ... odd; (bound form) multi-; poly-
许多 xu3duo1 many; a lot of; much
多少 duo1shao5 how much?; how many?; (phone number, student id etc) what number?
多年 duo1nian2 many years; for many years; longstanding
多么 duo1me5 how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent"
意 yi4 熠𬬩奕勚㑊埸裛肄毅𫄷劓诣弋杙臆⺈忆殪裔翼薏羿枍峄 "音 yin1, 心 xin1, 立 li4, 日 ri4, 亠 tou2, 囗 wei2" 77 "注意 意思 意义 同意" "意 yi4 italy; idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate
注意 zhu4yi4 to take note of; to pay attention to
意思 yi4si5 idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; to give as a small token; to do sth as a gesture of goodwill etc
意义 yi4yi4 sense; meaning; significance; importance
同意 tong2yi4 to agree; to consent; to approve"
别 bie2 癿蹩 "另 ling4, 刂 dao1, 口 kou3, 力 li4" 78 "特别 别人 别的 分别" "别 bie2 to leave; to part (from); (literary) to differentiate; to distinguish; (bound form) other; another; different; to fasten with a pin or clip; to stick in; to insert (in order to hinder movement)
特别 te4bie2 unusual; special; very; especially; particularly; expressly; for a specific purpose
别人 bie2ren5 other people; others; other person
别的 bie2de5 else; other
分别 fen1bie2 to part; to leave each other; to distinguish; to tell apart; difference; distinction; in different ways; differently; separately; individually"
所 suo3 溹唢锁索琐 "斤 jin1" 79 "所以 所有 所谓 有所" "所 suo3 actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive
所以 suo3yi3 therefore; as a result; so; the reason why
所有 suo3you3 all; to have; to possess; to own
所谓 suo3wei4 so-called; what is called
有所 you3suo3 somewhat; to some extent"
话 hua4 桦化婳觟划画 "讠 yan2, 舌 she2, 千 qian1, 口 kou3, 十 shi2" 80 "电话 说话 打电话 一句话" "话 hua4 dialect; language; spoken words; speech; talk; words; conversation; what sb said
电话 dian4hua4 telephone; phone call; phone number
说话 shuo1hua4 to speak; to say; to talk; to gossip; to tell stories; talk; word
打电话 da3dian4hua4 to make a telephone call
一句话 yi1ju4hua4 in a word; in short"
小 xiao3 晓𫍲皛筱 "八 ba1" 81 "小时 小说 小学 小孩" "小 xiao3 small; tiny; few; young
小时 xiao3shi2 hour
小说 xiao3shuo1 novel; fiction
小学 xiao3xue2 elementary school; primary school
小孩 xiao3hai2 child"
自 zi4 字恣眦渍 "目 mu4, 囗 wei2" 82 "自己 来自 自由 自我" "自 zi4 self; oneself; from; since; naturally; surely
自己 zi4ji3 oneself; one's own
来自 lai2zi4 to come from (a place); from: (in email header)
自由 zi4you2 freedom; liberty; free; unrestricted
自我 zi4wo3 self-; ego (psychology)"
回 hui2 茴洄烠蛔 "囗 wei2, 口 kou3" 83 "回来 回复 回家 回答" "回 hui2 to circle; to go back; to turn around; to answer; to return; to revolve; hui ethnic group (chinese muslims); time; classifier for acts of a play; section or chapter (of a classic book); to curve; to return; to revolve
回来 hui2lai5 to return; to come back
回复 hui2fu4 to reply; to recover; to return (to a previous condition); re: in reply to (email)
回家 hui2jia1 to return home
回答 hui2da2 to reply; to answer; reply; answer"
然 ran2 蚺燃髯 "犬 quan3, 灬 huo3, 大 da4, 人 ren2" 84 "然后 虽然 当然 突然" "然 ran2 correct; right; so; thus; like this; -ly
然后 ran2hou4 then; after that; afterwards
虽然 sui1ran2 although
当然 dang1ran2 only natural; as it should be; certainly; of course; without doubt
突然 tu1ran2 sudden; abrupt; unexpected"
果 guo3 蜾粿椁裹馃 "日 ri4, 木 mu4, 囗 wei2, 十 shi2" 85 "如果 结果 效果 果然" "果 guo3 fruit; result; resolute; indeed; if really; fruit
如果 ru2guo3 if; in case; in the event that
结果 jie1guo3 to bear fruit
效果 xiao4guo3 result; effect; efficacy; (theater) sound or visual effects
果然 guo3ran2 really; sure enough; as expected; if indeed"
发 fa1  "又 you4" 86 "发现 发展 发生 发表" "发 fa1 to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds)
发现 fa1xian4 to notice; to become aware of; to discover; to find; to detect; a discovery
发展 fa1zhan3 development; growth; to develop; to grow; to expand
发生 fa1sheng1 to happen; to occur; to take place; to break out
发表 fa1biao3 to issue; to publish"
见 jian4 舰箭键饯谏牮腱𬣡毽楗鉴踺僭健剑践涧荐件建渐槛贱溅 "儿 er2" 87 "见到 见面 只见 再见" "见 jian4 to see; to meet; to appear (to be sth); to interview; opinion; view
见到 jian4dao4 to see
见面 jian4mian4 to meet; to see each other
只见 zhi3jian4 to see (the same thing) over and over again; to see, to one's surprise, (sth happen suddenly)
再见 zai4jian4 goodbye; see you again later"
心 xin1 䜣锌歆薪𫷷昕辛馨忻炘新芯忄欣鑫  88 "心里 中心 心情 心理" "心 xin1 heart; mind; intention; center; core
心里 xin1li5 chest; heart; mind
中心 zhong1xin1 center; heart; core
心情 xin1qing2 mood; frame of mind
心理 xin1li3 psychology; mentality"
走 zou3  "土 tu3, 十 shi2, 人 ren2" 89 "走进 走向 走过 走去" "走 zou3 to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; to change (shape, form, meaning)
走进 zou3jin4 to enter
走向 zou3xiang4 direction; strike (i.e. angle of inclination in geology); inclination; trend; to move towards; to head for
走过 zou3guo4 to walk past; to pass by
走去 zou3qu4 to walk over (to)"
定 ding4 啶锭碇萣订腚 "宀 mian2, 冖 mi4, 人 ren2" 90 "一定 决定 肯定 规定" "定 ding4 to set; to fix; to determine; to decide; to order
一定 yi1ding4 surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must
决定 jue2ding4 to decide (to do something); to resolve; decision; certainly
肯定 ken3ding4 to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer)
规定 gui1ding4 to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations"
听 ting1 桯𬘩汀厅烃 "口 kou3, 斤 jin1" 91 "听到 听说 听力 打听" "听 ting1 to listen to; to hear; to heed; to obey; classifier for canned beverages; to let be; (literary) to administer
听到 ting1dao4 to hear
听说 ting1shuo1 to hear (sth said); one hears (that); hearsay; listening and speaking
听力 ting1li4 hearing; listening ability
打听 da3ting5 to ask about; to make some inquiries; to ask around"
觉 jue2 𫔎掘崛獗傕矍㵐砄橛玃谲孓倔蹶玦爝劂攫𫘝决抉厥珏觖 "见 jian4, 冖 mi4, 儿 er2" 92 "觉得 感觉 睡觉 发觉" "觉 jue2 to feel; to find that; thinking; awake; aware
觉得 jue2de5 to think that ...; to feel that ...; to feel (uncomfortable etc)
感觉 gan3jue2 feeling; impression; sensation; to feel; to perceive
睡觉 shui4jiao4 to go to bed; to sleep
发觉 fa1jue2 to become aware; to detect; to realize; to perceive"
太 tai4 钛泰肽酞态汰 "大 da4, 人 ren2" 93 "太太 老太太 太空 太子" "太 tai4 highest; greatest; too (much); very; extremely
太太 tai4tai5 married woman; mrs.; madam; wife
老太太 lao3tai4tai5 elderly lady (respectful); esteemed mother
太空 tai4kong1 outer space
太子 tai4zi3 crown prince"
该 gai1 晐荄陔赅垓 "讠 yan2, 亥 hai4, 亠 tou2, 人 ren2" 94 "应该 该死 活该" "该 gai1 should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned
应该 ying1gai1 ought to; should; must
该死 gai1si3 damned; wretched
活该 huo2gai1 (coll.) serve sb right; deservedly; ought; should"
当 dang1 筜裆珰  95 "当时 当然 当年 相当" "当 dang1 ding dong (bell); to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at
当时 dang1shi2 then; at that time; while
当然 dang1ran2 only natural; as it should be; certainly; of course; without doubt
当年 dang1nian2 in those days; then; in those years; during that time
相当 xiang1dang1 equivalent to; appropriate; considerably; to a certain extent; fairly; quite"
经 jing1 鼱鲸菁泾晶睛腈䴖惊麖兢猄粳精茎旌京荆 "纟 si1, ㇀ ti2, 工 gong1" 96 "已经 经济 经过 经常" "经 jing1 classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (tcm)
已经 yi3jing1 already
经济 jing1ji4 economy; economic
经过 jing1guo4 to pass; to go through; process; course
经常 jing1chang2 frequently; constantly; regularly; often; day-to-day; everyday; daily"
妈 ma1  "女 nü3, 马 ma3" 97 "妈妈 老妈 爸妈 大妈" "妈 ma1 ma; mom; mother
妈妈 ma1ma5 mama; mommy; mother
老妈 lao3ma1 mother; mom
爸妈 ba4ma1 dad and mom
大妈 da4ma1 father's elder brother's wife; aunt (affectionate term for an elderly woman)"
用 yong4 㶲 "二 er4" 98 "使用 不用 引用 利用" "用 yong4 to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore
使用 shi3yong4 to use; to employ; to apply; to make use of
不用 bu4yong4 need not
引用 yin3yong4 to quote; to cite; to recommend; to appoint; (computing) reference
利用 li4yong4 to exploit; to make use of; to use; to take advantage of; to utilize"
打 da3  "扌 shou3, 丁 ding1, ㇀ ti2" 99 "打开 打电话 打工 打击" "打 da3 to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from
打开 da3kai1 to open; to show (a ticket); to turn on; to switch on
打电话 da3dian4hua4 to make a telephone call
打工 da3gong1 to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation
打击 da3ji1 to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music)"
地 di4 递𤧛帝碲杕谛踶禘媂䗖睇菂娣第弟缔玓蒂棣 "土 tu3, 也 ye3, 十 shi2, 乜 mie1" 100 "地方 地区 地址 地上" "地 de5 -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
地方 di4fang5 area; place; space; room; territory
地区 di4qu1 local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)
地址 di4zhi3 address
地上 di4shang5 on the ground; on the floor"
再 zai4 载在 "冉 ran3, 土 tu3, 十 shi2" 101 "不再 再次 再也 再说" "再 zai4 again; once more; re-; second; another; then (after sth, and not until then)
不再 bu4zai4 no more; no longer
再次 zai4ci4 one more time; again; one more; once again
再也 zai4ye3 (not) any more
再说 zai4shuo1 to say again; to put off a discussion until later; moreover; what's more; besides"
因 yin1 荫𬮱姻堙骃殷禋歅𬤇溵氤𬘡喑音阴铟愔茵洇 "囗 wei2, 大 da4, 人 ren2" 102 "因此 原因 因素 因而" "因 yin1 cause; reason; because
因此 yin1ci3 thus; consequently; as a result
原因 yuan2yin1 cause; origin; root cause; reason
因素 yin1su4 element; factor
因而 yin1er2 therefore; as a result; thus; and as a result, ..."
呢 ni2 霓猊坭伲𫠜麑𫐐倪尼怩鲵泥铌 "口 kou3, 尼 ni2, 尸 shi1, 匕 bi3" 103 "着呢 呢喃 花呢" "呢 ne5 (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation
着呢 zhe5ne5 comes at the end of the sentence to indicate a strong degree; quite; rather
呢喃 ni2nan2 whispering; murmuring
花呢 hua1ni2 tweed; checkered cloth"
女 nü3 钕  104 "女人 女儿 女孩 女生" "女 nü3 female; woman; daughter
女人 nü3ren5 wife
女儿 nü3er2 daughter
女孩 nü3hai2 girl; lass
女生 nü3sheng1 schoolgirl; female student; girl"
告 gao4 锆郜筶诰 "口 kou3, 𠂉 jiu3" 105 "告诉 广告 报告 告别" "告 gao4 to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue
告诉 gao4su5 to tell; to inform; to let know
广告 guang3gao4 to advertise; a commercial; advertisement
报告 bao4gao4 to inform; to report; to make known; report; speech; talk; lecture
告别 gao4bie2 to leave; to part from; to bid farewell to; to say goodbye to"
最 zui4 罪蕞槜醉 "取 qu3, 耳 er3, 又 you4" 106 "最后 最好 最近 最终" "最 zui4 most; the most; -est (superlative suffix)
最后 zui4hou4 final; last; finally; ultimate
最好 zui4hao3 best; (you) had better (do what we suggest)
最近 zui4jin4 recently; soon; nearest
