的 de
了 le
比起 bi3qi3 "compared with"
钱 qian2 "coin; money"
本钱 ben3qian2 "capital; (fig.) asset; advantage; the means (to do sth)"
高 gao1 "high; tall; above average; loud; your (honorific)"
高中 gao1zhong1 "senior high school"
高大 gao1da4 "tall; lofty; towering"
高于 gao1yu2 "greater than; to exceed"
高等 gao1deng3 "high-level; higher (animals, education etc); advanced (math etc)"
太 tai4 "highest; greatest; too (much); very; extremely"
不太 bu4tai4
太太 tai4tai5 "married woman; mrs.; madam; wife"
其中 qi2zhong1 "among; in; included among these"
其他 qi2ta1 "other; (sth or sb) else; the rest"
其次 qi2ci4 "next; secondly"
其 qi2 "his; her; its; their; that; such; it (refers to sth preceding it)"
爱 ai4 "to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)"
爱好 ai4hao4 "to like; to be fond of; to take pleasure in; to be keen on; interest; hobby"
爱人 ai4ren5 "spouse (prc); lover (non-prc)"
可爱 ke3ai4 "adorable; cute; lovely"
位 wei4 "position; location; place; seat; classifier for people (honorific); (physics) potential"
位于 wei4yu2 "to be located at; to be situated at; to lie"
学位 xue2wei4 "academic degree; place in school"
找 zhao3 "to try to find; to look for; to call on sb; to find; to seek; to return; to give change"
找到 zhao3dao4 "to find"
找出 zhao3chu1 "to find; to search out"
长 zhang3 "chief; head; elder; to grow; to develop; to increase; to enhance"
家长 jia1zhang3 "head of a household; family head; patriarch; parent or guardian of a child"
长大 zhang3da4 "to grow up"
生长 sheng1zhang3 "to grow; to grow up; to be brought up"
所长 suo3chang2 "what one is good at"
会长 hui4zhang3 "president of a club, committee etc"
长 zhang3 "chief; head; elder; to grow; to develop; to increase; to enhance"
喜爱 xi3ai4 "to like; to love; to be fond of; favorite"
喜欢 xi3huan5 "to like; to be fond of"
道 dao4 "road; path; principle; truth; morality; reason; skill; method; dao (of daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process"
大道 da4dao4 "main street; avenue"
一道 yi1dao4 together
笑 xiao4 "to laugh; to smile; to laugh at"
笑话儿 xiao4hua5
笑话 xiao4hua5 "joke; to laugh at; to mock"
打 da3 "to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from"
打开 da3kai1 "to open; to show (a ticket); to turn on; to switch on"
打工 da3gong1 "to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation"
打听 da3ting5 "to ask about; to make some inquiries; to ask around"
打 da3 "to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from"
东 dong1 "east; host (i.e. sitting on east side of guest); landlord"
东西 dong1xi5 "thing; stuff; person"
西 xi1 "the west; spanish; west"
谁 shei2 who
北 bei3 north
东北 dong1bei3 "northeast china; manchuria; northeast"
西北 xi1bei3 "northwest china (shaanxi, gansu, qinghai, ningxia, xinjiang); northwest"
北京 bei3jing1 "beijing, capital of the people's republic of china"
买 mai3 "to buy; to purchase"
成为 cheng2wei2 "to become; to turn into"
成 cheng2 "to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; one tenth"
成果 cheng2guo3 "result; achievement; gain; profit"
成就 cheng2jiu4 "accomplishment; success; achievement; to achieve (a result); to create; to bring about"
成长 cheng2zhang3 "to mature; to grow; growth"
成本 cheng2ben3 "(manufacturing, production etc) costs"
看成 kan4cheng2 "to regard as"
生成 sheng1cheng2 "to generate; to produce; generated; produced"
不成 bu4cheng2 "won't do; unable to; (at the end of a rhetorical question) can that be?"
成 cheng2 "to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; one tenth"
当成 dang4cheng2 "to consider as; to take to be"
二 er4 "two; 2; (beijing dialect) stupid"
使用 shi3yong4 "to use; to employ; to apply; to make use of"
使 shi3 "to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger"
使得 shi3de5 "usable; workable; feasible; doable; to make; to cause"
大使 da4shi3 "ambassador; envoy"
听写 ting1xie3 "(of a pupil) to write down (in a dictation exercise); dictation; (music) to transcribe by ear"
写 xie3 "to write"
写作 xie3zuo4 "to write; to compose; writing; written works"
条 tiao2 "strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)"
四 si4 "four; 4"
自由 zi4you2 "freedom; liberty; free; unrestricted"
由 you2 "to follow; from; because of; due to; by; via; through; (before a noun and a verb) it is for ... to ..."
由于 you2yu2 "due to; as a result of; thanks to; owing to; since; because"
地方 di4fang5 "area; place; space; room; territory"
北方 bei3fang1 "north; the northern part a country; china north of the yellow river"
东方 dong1fang1 "the east; the orient; two-character surname dongfang; east"
方向 fang1xiang5
西方 xi1fang1 "the west; the occident; western countries"
对方 dui4fang1 "the other person; the other side; the other party"
比方 bi3fang5 "analogy; instance; for instance"
前方 qian2fang1 "ahead; the front"
应当 ying1dang1 "should; ought to"
应用 ying4yong4 "to put to use; to apply; practical; applied (science, linguistics etc); application; practical use; (computing) app"
应 ying1 "to agree (to do sth); should; ought to; must; (legal) shall"
对应 dui4ying4 "to correspond (to); to be equivalent to; to be a counterpart to"
应 ying1 "to agree (to do sth); should; ought to; must; (legal) shall"
应对 ying4dui4 "to answer; to reply; to handle; to deal with; response"
该 gai1 "should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned"
应该 ying1gai1 "ought to; should; must"
请 qing3 "to ask; to invite; please (do sth); to treat (to a meal etc); to request"
请问 qing3wen4 "excuse me, may i ask...?"
常常 chang2chang2 "frequently; often"
常 chang2 "always; ever; often; frequently; common; general; constant"
非常 fei1chang2 "very; really; unusual; extraordinary"
常用 chang2yong4 "in common usage"
经常 jing1chang2 "frequently; constantly; regularly; often; day-to-day; everyday; daily"
日常 ri4chang2 "day-to-day; daily; everyday"
时常 shi2chang2 "often; frequently"
常年 chang2nian2 "all year round; for years on end; average year"
出发 chu1fa1 "to set off; to start (on a journey)"
发 fa1 "to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds)"
发现 fa1xian4 "to notice; to become aware of; to discover; to find; to detect; a discovery"
发出 fa1chu1 "to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)"
发生 fa1sheng1 "to happen; to occur; to take place; to break out"
发觉 fa1jue2 "to become aware; to detect; to realize; to perceive"
打发 da3fa5 "to dispatch sb to do sth; to make sb leave; to pass (the time)"
发起 fa1qi3 "to originate; to initiate; to launch (an attack, an initiative etc); to start; to propose sth (for the first time)"
今年 jin1nian2 "this year"
今天 jin1tian1 "today; at the present; now"
今后 jin1hou4 "hereafter; henceforth; in the future; from now on"
如今 ru2jin1 "nowadays; now"
今日 jin1ri4 today
带 dai4 "band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise"
带来 dai4lai2 "to bring; (fig.) to bring about; to produce"
带有 dai4you3 "to have as a feature or characteristic; to have an element of (confidence, sweetness, malevolence etc); to carry (a pathogen, connotation etc)"
地带 di4dai4 zone
一带 yi1dai4 "region; district"
岁 sui4 "years old; classifier for years (of age); year; year (of crop harvests)"
岁月 sui4yue4 "years; time"
去世 qu4shi4 "to pass away; to die"
世界 shi4jie4 world
界 jie4 "(bound form) boundary; border; (bound form) realm"
请坐 qing3zuo4 "please, have a seat"
坐 zuo4 "to sit; to take a seat; to take (a bus, airplane etc); to bear fruit"
坐下 zuo4xia4
大自然 da4zi4ran2
然后 ran2hou4 "then; after that; afterwards"
当然 dang1ran2 "only natural; as it should be; certainly; of course; without doubt"
果然 guo3ran2 "really; sure enough; as expected; if indeed"
然而 ran2er2 "however; yet; but"
天然 tian1ran2 natural
要不然 yao4bu5ran2
不一定 bu4yi1ding4
一定 yi1ding4 "surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must"
说不定 shuo1bu5ding4
定时 ding4shi2 "to fix a time; fixed time; timed (of explosive etc)"
定位 ding4wei4 "to orientate; to position; to categorize (as); to characterize (as); positioning; position; niche"
进 jin4 "to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound"
进来 jin4lai5
进去 jin4qu5
请进 qing3jin4
走进 zou3jin4 "to enter"
前进 qian2jin4 "to go forward; to forge ahead; to advance; onward"
行 xing2 "to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; will do; behavior; conduct"
不行 bu4xing2 "won't do; be out of the question; be no good; not work; not be capable"
进行 jin4xing2 "to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute"
行人 xing2ren2 "pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor"
行为 xing2wei2 "action; conduct; behavior; activity"
行 xing2 "to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; will do; behavior; conduct"
发行 fa1hang2
出行 chu1xing2 "to go out somewhere (relatively short trip); to set off on a journey (longer trip)"
一行 yi1xing2 "party; delegation"
一直 yi1zhi2 "straight (in a straight line); continuously; always; all the way through"
公里 gong1li3 kilometer
公开 gong1kai1 "open; overt; public; to make public; to release"
公 gong1 "public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; honorable (gentlemen); father-in-law; male (animal)"
公司 gong1si1 "company; firm; corporation"
司长 si1zhang3 "bureau chief"
见 jian4 "to see; to meet; to appear (to be sth); to interview; opinion; view"
看见 kan4jian5
听见 ting1jian5
再见 zai4jian4 "goodbye; see you again later"
常见 chang2jian4 "commonly seen; common; to see sth frequently"
见过 jian4guo4
见到 jian4dao4 "to see"
只见 zhi3jian4 "to see (the same thing) over and over again; to see, to one's surprise, (sth happen suddenly)"
不见 bu4jian4 "not to see; not to meet; to have disappeared; to be missing"
会见 hui4jian4 "to meet with (sb who is paying a visit)"
看得见 kan4de2jian4
而且 er2qie3 "(not only ...) but also; moreover; in addition; furthermore"
并且 bing4qie3 "and; besides; moreover; furthermore; in addition"
方便 fang1bian4 "convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself"
便条 bian4tiao2 "(informal) note"
便于 bian4yu2 "easy to; convenient for"
以便 yi3bian4 "so that; so as to; in order to"
便是 bian4shi4 "(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as"
便 bian4 "plain; informal; suitable; convenient; opportune; to urinate or defecate; in that case; even if; soon afterwards"
